address,display_name,builder_score
0x4Dd958cA0455BFb231770cD06898894b4c974671,kaito,69
0x9f93c79aE63d65AAD2fe4E173E6bB24552a48977,,
0x2d8D77fA3d6bD121E9613414E3C73c7c243BB552,poulert 🟣  🎭🎭,116
0x8367D5F140a0219106F958816712D1e3538987dE,Ggutierrezse.ETH,41
0x3632f80310875cC5782442817b97bfd88B181A92,Taki(not a bot),
0x01509b45b52875Ce7158bD1a73748a2dB1dB2642,,
0x86D72fAE0B9581dDAe5C1B178f8E302380E0C2AF,,
0x32a767806A3C288e057513B5DC46395dcb21DF72,,
0x788669c9b3f7485E3816C9d526E25692e821AEDE,,
0x9D3508baa9f8B845FB2686d2A26113b84C73e409,,
0xf03540Fd90fE338b84923ef0f7B7B6A6C2e90019,,
0x10f74955572500981D94a7061008eE11720357b5,,
0x8349DE968A70B79D09886DA1690CC259b67CbCbC,elboletaire 🗳️,208
0xF05b5f04B7a77Ca549C0dE06beaF257f40C66FDB,✳️ nibnalin on daimo,21
0xF1fa20027b6202bc18e4454149C85CB01dC91Dfd,Story91,110
0x5B546bC96db539FA8bFa79B622CFC70b100E81EA,,
0x82eB45562F991329ED2867F43fc60F0Ba52C3Dab,validator.eth,86
0x91A3073Badd6EFb0A30cDF919E12F2Ff6b9e4723,,
0x764E427020Ad72624075c61260192C6E486D15a5,Zenigame,211
0x788f6B0226553f7331054438E3BDa08f989Cc007,conca 🎩💻,31
0x2c561B1eff0F7470C579446A5b522e96709bF231,,
0x502aba4D4C507f294818ae1FC3Ce25A1623dCe22,Simão,195
0xe33e5213b90a6e92787FE145b768101e3aFC1162,,
0x9e0f0d83dD880240e3506A7Ac4CE82500b2bD92B,Kirill,121
0x8aEfFD47C417aD32e08E03d6278922A533010619,Chaitanya,175
0xCb6D20011Ed3b97E57Fa8F4589A239aE4cF94F7D,,
0x584cb34c3d52Bf59219e4e836FeaF63D4F90c830,,
0x377DA9CaB87c04a1d6F19D8B4be9Aef8Df26fcDD,,
0x11aDD8df7308128A7f87453d450af38794331b1F,HJ,4
0xdf28Db2947fF5faC91b81a6cbBE603Bfc088022a,,
0x2BdA41589fc6b86D17F9ADb4Cc90313799D5F6e5,zerohex,128
0x2a6c202884f10eAE7E097cFc6558FF888AD11c2A,,
0x512AD025a0080b9Fa95f83BB9b550310958718Df,,
0x707D44b65BA91C42f212e8bB61f71cc69fBf8fd7,Anton,24
0x8Df46D8Bb10D79f89E00e0a6859327f7189C45de,richie is foraging,125
0xc1b0030780d6d6bcFa15e8e70ca6431Cebc8A034,,
0x8f51DC0791CdDDDCE08052FfF939eb7cf0c17856,Juan -> 👀,113
0xAbEf5b9553325cb0eDB714291F4A786d49c881Ed,,
0x0F04693d93C420d2685Dc53ced7141a7EBF9Cc91,,
0xa5C1A4Db66716A87DF99692561AC7102857e2119,yixiang,49
0xf1E7DBEDD9e06447e2F99B1310c09287b734addc,Jacek.degen.eth 🎩,59
0xf2dC97Fd58a3706D2FFA40923337AA92DAD0b8D0,Vitor Hugo,119
0x037Eb04AD9DDFf984F44Ce5941D14b8Ea3781459,Machuche.base.eth,1
0x2Ca3355E6e09e54bE4A70F44d6709DABA08fC786,Paul Sizon,88
0xf9a3BB070c1f9b3186A547DeD991BeD04a289C5B,pol,44
0x23a2A9B01064A917Fa289A8dD926d7B74B433419,,
0x67fAD44a9BA44533925BD0aA264Ac4151Ba80426,,
0xf039476Cf230b5e60db203cbC54beED6baa30Bbe,,
0xf7ac63cEA00286d65848e9cE4750B9f0FcFea2Eb,ricy137.eth | cuckooir.lens,179
